,Account,Post,Tag,Likes,Comments
10,__dhdhe,#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",15,[]
11,__dhdhe,#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",17,[]
12,__dhdhe,"Kopi Turki.. Omaygat.. Love

Reposted from @istanbullezzet -         - #regrann",['regrann'],1,[]
13,__dhdhe,"#friendshipquotes #sahabatuntiljannah 
#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper","['friendshipquotes', 'sahabatuntiljannah', 'puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",1,[]
14,__dhdhe,"#ayah #rinduayah #suratcinta #papa #rindu #strong #motivasi 
#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper","['ayah', 'rinduayah', 'suratcinta', 'papa', 'rindu', 'strong', 'motivasi', 'puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",19,[]
15,__dhdhe,"#selfreminder #hijrah #akhwat #motivasi
#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper","['selfreminder', 'hijrah', 'akhwat', 'motivasi', 'puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",2,[]
16,zaidanprtm,"Alohomora! The key to the main show is open, 
I'm Zaidan

I'm supporting KARASEL closing stage Bazkom 2018, and I am ready to explore the light in the darkness on Saturday, 20 October 2018 at SMAN 68 Jakarta to prevail over The Darkest Era together! There will be performances by:
Kunto Aji
Tompi
Stars and Rabbit
The Groove
The Upstairs

Don't forget to qualify yourself by purchasing the tickets through: LINE @dbk1023v

We've all got both light and dark inside us. What matters is the part we choose to act on. That's who we really are

Recite the spells,Rewrite the tales
#KARASEL2018",['karasel2018'],173,"['mafia', 'wow cool pic bro!']"
17,zaidanprtm,"[KELOMPOK 3 PKKMB FMIPA UNJ 2018] ""Dua kekuatan yang berhasil memengaruhi pendidikan manusia adalah seni dan sains, keduanya bertemu dalam buku."" -Maxim Gorky.

Keluar negeri dengan buku? Memangnya bisa? Bisa! Itulah mengapa buku dijuluki jendela dunia, melalui buku kita bisa memperluas wawasan dan menambah ilmu kita. Mari kita tanam budaya literasi sejak dini untuk menghasilkan generasi penerus yang cerdas dan berilmu.



FULL VIDEO CHECK THIS LINK OR CHECK MY BIO
Like and subscribe
https://youtu.be/-7AqbBPoIFk

#PKKMB2018
#PenggerakPeradaban
#BeraniBerkarya
#Bermanfaat
#BaktikuUntukIndonesiaMaju
@pkkmbfmipaunj 
#AksiSosial
#SocialMovement","['pkkmb2018', 'penggerakperadaban', 'beraniberkarya', 'bermanfaat', 'baktikuuntukindonesiamaju', 'aksisosial', 'socialmovement']",109,"['Gamau like ah kamunya dikit', 'Gausah spam like di line ya dan, dah gua like', 'Follback']"
18,zaidanprtm,"Science is a way of thinking much more than it is a body of knowledge. - Carl Sagan

Hello! My name is Zaidan and Im proud to be a part of Computer Science, Faculty of Mathematics and Natural Sciences, State University of Jakarta. I'm ready for PKKMB UNJ 2018 and gonna shake the whole world with our science skill also reveal the secrets of the universe!

@pkkmb_unj2018
#PKKMBUNJ2018
#IntelekBerpikir
#IntelekBergerak
#FMIPAUNJ2018
#IlmuKomputerUNJ2018","['pkkmbunj2018', 'intelekberpikir', 'intelekbergerak', 'fmipaunj2018', 'ilmukomputerunj2018']",245,"['bang ganteng', 'mangstap', '@366hari teman kita', 'Wibu ga', 'Aduhay @unjganteng ', '@unejganteng', '@unej.ngantuk', '@unjganteng', 'Wiii fmipa', '""komen wow so proud of you gitu dong biar keliatannya ada yang bangga""', 'kok lo bukan kyk @unjganteng malah kayak @unjing jai ?', ""@unjganteng zay(n)dan gatau lupa jurusan apaan '18"", '@unjganteng gk ngepost akun lo gk viral', '@unjganteng', '@unjganteng mantap lah ZAIDAN PRATAMA :v', 'Panutanku', 'Anjg mana orangnya ini', 'In telek', '@unjkotak', 'oh ini yg minta di like', 'Wededede', 'ini siape nih', 'Banyak gaya lo bang', 'kotak hitam', '@unjeganteng #crot', 'ganteng banget ampe ga keliatan. ya ga sih?? @ahmadhafidzfa', 'Fotonya pas mati lampu y']"
19,zaidanprtm,Satu yang tidak berubah : aku masih lucu,[],152,"['palalu bujur sangkar!!!', 'Hah lo yang paling depan yang kecil? Kok...', 'Palalu ketupat tahu!!!', 'Kotak makan kotak', 'pengen gue like semua commentnye', 'Sudut makin siku2', 'cocok diketawain', 'satu yg gaberubah: kamu tetap goblok', 'Hmm.. Gimana dan coba?', 'Autohujat']"
20,zaidanprtm,"Between the world and them, I choose them.",[],195,"['Choose you tapi 7 foto orgnya beda semua', 'Ohgitu', 'OWWWWW', 'halah cowo', 'Hmhm', 'Tadi ""you"" sekarang ""them""', 'poto ke dua kurang terang jai', 'Batok lulus', 'Parah gaada anak""nya', 'Cuma sama emak', 'kami tagih hak anak kami!', 'gue mana', 'bima putih banget ya', '@vaniaoctora @ptriciairene @febriannadk kalian masih dalam kandungan di foto ini, mama papa aja baru lulus sma :)']"
21,zaidanprtm,Celana apa sarung #kelar #udah #gumoh #un #lulus,"['kelar', 'udah', 'gumoh', 'un', 'lulus']",172,"['pala apa sebuh dadu yg dilempar bersamaan', 'pala apa kardus', 'Hahahahahah', 'Kulot']"
22,zaidanprtm,"Jingga. Terpana. Sirna.

Pict ini merupakan karya dari : @hilmanazzam",[],114,"['si pana', 'dicariin, malah ngerokok di warung @ihsanirfanto', 'jai sini @anowanggai', 'pulang jai dicariin', 'anak langit']"
23,zaidanprtm,Putih. Kelabu. Membiru.,[],133,"['deep', '@raihantf @raihantamami', 'Kotak', 'Gedungnya']"
24,zaidanprtm,good old days #tb,['tb'],131,"['ada acu', 'Lau paling eksis @nabilasbr', 'Penahan paling pro', 'ada org cantik', 'a rare footage of andi lagi tugas', 'gue yg mana y']"
25,zaidanprtm,"Put on uniform  school  rooftop. The perfect way to end the day.  : @bimafernendes

#parkour #parkourindonesia #jump #flip #mentalblock #rooftop #landscape #slomo #rooftopculture #precision #explorejakarta #instagram","['parkour', 'parkourindonesia', 'jump', 'flip', 'mentalblock', 'rooftop', 'landscape', 'slomo', 'rooftopculture', 'precision', 'explorejakarta', 'instagram']",147,"['Dimana?', 'B', 'Alig alig', 'zaidanprtm Aw cool', ""Where's this??"", ""@aca_awadhivan @alaaji it's on my friend's apartment, Menteng Square. But to get to the rooftop we need some access card"", 'serem juga', 'Gokil', 'nnnnntaaaaaapsss', 'hdue', 'kirain bunuh diri wkwk', 'Ya allah nyawa cuma sebiji:(', 'Eh kalo gue kira"" bisa ga loncatin itu?']"
26,zaidanprtm,#2017bestnine,['2017bestnine'],106,"['Beli likers', 'Dude, dont hate the player, hate the game @ahmdhafidz', 'foto kyk gitu di like?', 'Ew', 'ada acu']"
27,zaidanprtm,"Salamat Hasupa, #Discoverers!

I'm zay(n)dan, ready to take part in the glorious odyssey of #ARTEOS2017. Join me to preserve the long lost Indonesian treasure, Dayak Tribe, by experiencing the cultural ceremony on December 16th at SMAN 1 Jakarta.

With the spectacular performances by:
HIVI!
The Changcuters
Souljah
Whatever

Dont miss the magnificent event, secure your entry-pass now by purchasing them through:
Nafthalie Andreani
LINE : nafthalieandreani
 : 085888382317
Tasya Angginauli
LINE : tasyaah.
 : 087880405438

Inhale deeply for the amazing sight of our nation's very own heritage, the ethereal DAYAK TRIBE

#ARTEOS2017","['discoverers', 'arteos2017', 'arteos2017']",147,"['Zayndan wkwkw', 'Ganteng bgt kaka', 'klonto. nama di caption tidak mereprensentasikan wujud fisik dari anda', 'Wujud sma caption kontradiksi', 'Gaterima si gw', '@ikhsannurfajar_ wkwkwk']"
28,zaidanprtm,'pertengahan bulan kena tilang' pose.,[],129,"['kapan gue ganteng', 'ngakak jinq', 'Muka lo ganteng difoto ini jai', 'yaudah iya', 'Gercep abis', 'posenye kek iklan oskadon pak', 'Galau mase... @zaidanprtm', 'Galau mase... @zaidanprtm', 'main fifa 10 kali lebih cuma menang 2 kali pose @irfansyahwp', 'napetu', ""'abang kemana gapulang' pose""]"
29,zaidanprtm,"Sunday morning class  rainy season training @parkourjkt ps: (gatau mau pake backsound apa, entah kenapa hasil edit jadi ancur seperti ini-___- biasanya biasa saja) #parkour #parkourindonesia #parkourjkt #pkfr #kong #diveroll #instalike #flow #precision #besokuas #explorejakarta","['parkour', 'parkourindonesia', 'parkourjkt', 'pkfr', 'kong', 'diveroll', 'instalike', 'flow', 'precision', 'besokuas', 'explorejakarta']",106,"['tolong:(', 'Apa @rajwaalaztha', 'Bener bener gak ada pilihan buat backsound wkwk', 'oh no my ears', 'Bingung dung, lelah gaada yg cocok wkwkw @ramdani_murtadho', 'besok senin bayar pulsa']"
30,zaidanprtm,"Saya tidak pandai merangkai kata. Maka dari itu, ungkapan terima kasih saya mungkin terlihat biasa. Tapi percayalah, bekerja sama dan berteman dengan anda sangatlah berarti bagi saya. Meskipun lebih banyak duka daripada suka, 3 tahun ini jadi pengalaman menyenangkan bagi saya. Melalui ekskul kita, muncul berbagai foto yang kini saya unggah di linimasa. Terima kasih, teman terkasih. [Didedikasikan untuk Wakil Ketua Angkatan XXXV, @nabilasbr]",[],148,"['Yah fotonya sama semua', 'hahaha dibales', 'yah komen kita diapus @noelpradipta_', 'HAHAHAHHAHAHH', 'Lucuuuuuww', 'Wiii', 'BUNDAKU AYAHKU OANSISWHKAJSNISJWS', 'KGN BGT OMG', 'Ntar ada yg panas lo jai']"
31,zaidanprtm,Sebuah kebanggaan bagi saya bisa mengibarkan Merah Putih bersama kalian. Selamat Hari Pahlawan! (Tugas Akhir Paskibra 68 Angkatan XXXV),[],179,"['miring', 'Ada yang ga hormat tuhh', 'Yah ke like', 'Udah di like blom? @nabila.sals', 'Luv daddy mucies', 'si yg ga pernah ganti posisi di pasukan', 'aw, ayahku memang yang terbaiq', 'bye daddy', 'Putih-putih di atas apa ya', 'Jaya trus paskibra']"
32,zaidanprtm,"Mencoba keren, malah jadi keren banget.",[],176,"['Mafia beristri 4?', 'cups', 'Box to box midfielder', 'Sebel bgt', 'tengil', 'The mask', 'kenapa lebih laki dhea sih', '@aldhan.muhammad @joelsianturi @noelpradipta_ @ramadhr @talithamaheswari @nabilasbr @irfansyahwp baru ditinggal beberapa menit sudah ramai meninggalkan jejak di post saya', 'caption nya gimana gitu ya WKWKWK', 'Sepatu sape jai', 'Topi lo kayak petani jagung', '@amanda.normanita gimana ya...', '@ahmdhafidz makasih ya endorsement nya insya allah abis ini toko sepatu kamu bakal ramai pembeli abis diiklanin disini', 'Dimanamana suka menghujat ya putra satu ini @ahmdhafidz', 'nyesel baca caption', 'Ihh keren bgt dahh', 'The Almost beauty and super beast!', 'w d d', 'udah dilike y', '^ada apa antara senior dan purnaraka ini @nikenurfitaa @abrahmanto10 @febriannadk @tabitharnl', 'skandal dimanamana @ahmdhafidz', 'waaa jadi yang ini zai', 'Gua merasa rugi membuang dua detik hanya untuk membaca caption lu jai', 'lau terbohemian', 'Hubungan timbal balik saling menguntungkan antara penjual pulsa dan pelanggannya @ahmdhafidz @nabila.sals', 'Pengen ngelike karena captionnya tapi gajadi like karena tiap gambar ada zaidannya', 'kok yg sama dhea lucu', 'lah gantengan dhea', 'kek pernah liat di perempatan cempaka mas ya dek suka bawa bungkus ciki buat naro duit gt @alifasalsa', 'Pengin menghujat captionnya, tapi ada gue disitu']"
33,zaidanprtm,"Hi, I'm Zay(n)!
.
I'm supporting CLOSING STAGE BAZKOM 2017 appearing on Saturday, September 23rd 2017 at SMAN 68 Jakarta to witness the glory of the ancient times!
.
With the performance of
TONY Q RASTAFARA
THE CHANGCUTERS
BARASUARA
ENDAH N RHESA
KIARA RIZ
.
Dont forget to secure your entry warrant now by purchasing through:
Hanifahoho // @yml8621a
.
 Hear the cavalries marching through the hills and let the sounds of archaic bells bring you to the ANCIENT TIMES! 
.
#CLOSINGSTAGE2017",['closingstage2017'],199,"['Ya in ae', 'Zay(n) bgt ga tuh', 'Zayntan ?', 'Keliatan muda', 'Hasil jerih payah @insyirayna', 'Belom ada 5 menit belom ada, udah kalian hujat @diffaarsyanda @talithamaheswari @joelsianturi @qyarez // foto ktp candid @alfa_shouta13', 'imamin aqq', 'tergece', 'Ini zaidan 10 tahun lalu', '@lyscattered @insyirayna terima kasih sudah membantu', 'yg ngedit tersiksa', 'kupandang awan dari atas bukit', '@bimafernendes Oh ini yang se sma sama ....', '@bimafernendes cie adeknye die mention lo', '@ptriciairene anak kecil jangan ikut2', 'Zaynuddin apa zayn malik nih(?)', 'Perlu gue perjelas? @meldanst_', 'Yang motoin 11 12 zayn', 'Kenedy', 'zayn?', 'Pak penghulu?', 'Uhumm', 'Zayn?', 'Kuy ga wa? @irzahwaaaaa', 'mau hujat tapi takut dosa', 'kylie jenner?', 'Bibir makin tebel tu WKWKWK']"
34,zaidanprtm,"""Kau menunggu. Sesuatu yang pergi barangkali akan pulang, tapi kadangkala waktu tak membawa seseorang.""",[],109,"['Galau pak', 'Kadangkala waktu membawa rasa mules', 'Kadangkala kalo ditahan di sekolah, nyampe rumah gamau keluar @ahmdhafidz']"
35,zaidanprtm,Tarik terus bang ,[],153,[]
36,zaidanprtm,"""Di sela langit biru dan matahari yang cemburu melihat senyummu, ada sebagian diriku yang selalu saja tenggelam dalam indahnya tatapmu."" [Zayndan Liye, 13/9/17, 4.36 pm] 
#eaea #zaidanliye #puisi #sajakliar #soksokan #poems #zayndanmalik #captionhanyapemanis #pertololanhariini","['eaea', 'zaidanliye', 'puisi', 'sajakliar', 'soksokan', 'poems', 'zayndanmalik', 'captionhanyapemanis', 'pertololanhariini']",125,"['mau report tapi temen sendiri hm', 'belom ada 2 menit, udah dihujat postingan gue @noelpradipta_', 'Hestek kondisikan', 'puisi copas darimana', 'zayndan liye ', 'Udah dikondisikan @irzahwaaaaa // sumpah min, ini bikinan gue barusan jam 3.46 @jsmnstphn // bentar lagi bikin buku @dhafinnmn', 'Eh salah 4.36', 'kettgn', '@ptriciairene komen2 aja si mba', '@noelpradipta_ semua feeds nya hasil repostan mas?', 'zaidan langit nya bagus', 'Puisi nya juga, zaidan nya juga @amanda.normanita', 'zaiusdan', 'ishishishh', 'Maksudnya apa tuh @ahmdhafidz', 'teh kotak wyd', 'Langitnya bagus (2) minta buat ref dong', 'nanti ya gan kalo lagi dirumah @rivadoshido']"
37,zaidanprtm,"Lompat2 cantik @ampedindo #trampoline #jakarta #flip #frontflip #parkour 
Sorry for bad languange  : @bimafernendes","['trampoline', 'jakarta', 'flip', 'frontflip', 'parkour']",97,"['anjen*q musti bat gaditrim ye bagian awalnye', 'aduh ngekomennye salah akun', 'Lu ngapain?', 'suara bagian pembukanya agak gimana ya wkwkwkw', 'ngomong nya bima... @bimafernendes // gerak @vaniaoctora // iya emang tuh @amanda.normanita']"
38,zaidanprtm,"Sekali lagi selamat 1 dasawarsa!! @parkourindonesia.official @parkourindonesia 
Sedikit cuplikan latian sabtu kemarin
In frame : @ijall24 @ar11_02ik #parkour #parkourindonesia #jump #swing #vaulting #bar #parkourjkt","['parkour', 'parkourindonesia', 'jump', 'swing', 'vaulting', 'bar', 'parkourjkt']",78,['Ahahahahah']
